Title	URL	ResourceType	Citation	PubDate	CollectDateStart	CollectDateEnd	Producer	Distributor	Description	DataMethodType	Longitudinal	TimeSpan	Country	GeographicRegion	AdminLevel	UnitAnalysis	Language	Themes	Subjects	Restrictions	Notes	AddedUpdated							
2013-lgb-living-conditions-persondata. Part of Sexual Orientation and Living Conditions 2013 	https://doi.org/10.18712/NSD-NSD2610-V3	Dataset		2022	2012	2013	Norman Anderssen	Sikt– Norwegian Agency for Shared Services in Education and Research	"""2013 lgb-living-conditions-persondata"" was collected as part of a major umbrella project - ""Sexual Orientation and Living Conditions 2013"" - and carried out on behalf of the The Norwegian Directorate for Children, Youth and Family Affairs in the Ministry of Children and Equality. In addition to literature reviews, the umbrella project consisted of four empirical projects:; - 2013 LGBT living conditions; - Attitudes towards LGBT people 2013 (data filed with NSD); - In the closet anno 2012 – a qualitative study about situations where lesbian, gay and bisexual people in Norway hide their sexual orientation; - Queer stories – a documentary project about queer lives; The Living Conditions survey was nationwide and  conducted in the period November 2012 to March 2013 as a questionnaire. Eight main themes were covered: Health and disease, social networking, well-being, lifestyle, work life and study, leisure and organizational life, violence and relationships with their own sexual orientation and openness."	Qualitative	No		Norway	Northern Europe	Nation	Individual	Norwegian	Opinions and Social Attitudes. Sexualitiy and Gender Identity, Health, Socio-economic-cultural	health, living open and daily life, sexual behavior, sexual orientation, substance abuse, sexual and gender minorities, lesbians, homosexual, social networks	No	"On the website, the collection is named ""Sexual Orientation, Gender Diversity and Level of Living (2008 - 2020)"""	23/05/2025							
2015 U.S. Transgender Survey (USTS)	https://doi.org/10.3886/ICPSR37229	Dataset	"Sandy E. James, National Center for Transgender Equality (U.S.); Jody Herman, National Center for Transgender Equality (U.S.); Mara Keisling, National Center for Transgender Equality (U.S.); Lisa Mottet, National Center for Transgender Equality (U.S.); Ma'ayan Anafi, National Center for Transgender Equality (U.S.)"	2019	2015	2015		Inter university Consortium for Political and Social Research ICPSR	The 2015 U.S. Transgender Survey (USTS) was conducted by the National Center for Transgender Equality (NCTE) to examine the experiences of transgender adults in the United States. The USTS questionnaire was administered online and data were collected over a 34-day period in the summer of 2015, between August 19 and September 21. The final sample included respondents from all fifty states, the District of Columbia, American Samoa, Guam, Puerto Rico, and U.S. military bases overseas. The USTS Public Use Dataset (PUDS) features survey results from 27,715 respondents and details the experiences of transgender people across a wide range of areas, such as education, employment, family life, health, housing, and interactions with police and prisons.	Quantitative	No	2015	United States of America	Northern America	State	Individual	English	Sexuality and Gender Identity, Discrimination, Social Justice and Equality	family life and marriage, sexual and gender minorities, discrimination, prejudice, gender identity	Yes		08/05/2025							
2020 Census: LGBTQ+	https://www.census.gov/newsroom/press-kits/2020/2020-census-lgbtq.html	Website		2020	2019		U.S. Census Bureau	U.S. Census Bureau	The U.S. Census Bureau’s Current Population Survey Annual Social & Economic Supplement: America’s Families and Living Arrangements table package includes estimates of same-sex couples.	Quantitative	Yes	1995-2020	United States of America	Northern America	Nation	Individual	English	Demographic and Vital Statistics	marital status	No									
2024 LGBTI Inclusion Index: Report on the Pilot Implementation	https://www.undp.org/publications/2024-lgbti-inclusion-index-report-pilot-implementation	Report		2024			United Nations Development Programme (UNDP)		"The LGBTI Inclusion Index serves as a global benchmark and guide for countries to assess their progress towards achieving full inclusion of lesbian, gay, bisexual, transgender, and intersex people according to 51 indicators across five strategic areas. 52 countries, and the pilot phase culminated in the creation of indices in the Dominican Republic, Georgia, Guyana, New Zealand, Pakistan, and Viet Nam.  5 categories: political and civic participation; education; health; personal security and violence; and economic well-being.  The report elaborates on the key findings and lessons from these pilots, as well as recommendations for scaling up safe data collection and use, to advance the inclusive development of LGBTI+ people and ensure that no one is left behind.In terms of content, the index indicators include two kinds of measures. The first assesses opportunities open to LGBTI people, which are defined by the presence of laws that exist to promote equal access to education, jobs and health care, for example. While measures of legal rights are also used in some other indexes, the LGBTI Inclusion Index extends beyond rights to assess how LGBTI people live. This second set of measures focuses on outcomes that reflect the lived experience of LGBTI people in each dimension, such as levels of poverty and educational attainment. "				Dominican Republic, Georgia, Guyana, New Zealand, Pakistan, and Viet Nam	All Regions	Nation	Political or Administrative Area	English	Opinions and Social Attitudes and Gender Identity, Discrimination, Socio-economic-cultural, Health, Civil and Political Rights, Law and Policy	employment, health, lgbt or lgbti, transsexuals, discrimination, gender identity, gay, transgender people, attitudes, stigma, lesbians, sexual and gender minorities	No		05/02/2025							
2024 U.S. National Survey on the Mental Health of LGBTQ+ Young People	https://www.thetrevorproject.org/survey-2024/	Report	Trevor Project (2024). 2024 National Survey on the Mental Health of LGBTQ+ Young People. 	2024	2023	2023	Trevor Project	Trevor Project	The Trevor Project’s 2024 U.S. National Survey on the Mental Health of LGBTQ+ Young People amplifies the experiences of more than 18,000 LGBTQ+ young people ages 13 to 24 across the United States.	Mixed	No	2018-2024	United States of America	Northern America	Nation	Individual	English	Youth, Health	mental health	No		24/04/2025							
A Study of the Life and Health of LGB People in a Changing Society, United States, 2016-2019 (ICPSR 37166)	https://www.icpsr.umich.edu/web/RCMD/studies/37166	Report		2023	2016	2019	Williams Institute	Inter university Consortium for Political and Social Research ICPSR	The Generations study is a five-year study designed to examine health and well-being across three generations of lesbians, gay men, and bisexuals (LGB). 	Quantitative	Yes	2016-2019	United States of America	Northern America		Individual	English	Health 	health	No	Some data is restricted.								
Accessing HIV post-exposure prophylaxis: gay and bisexual men in the UK describe their experiences	https://doi.org/10.5255/UKDA-SN-852745	Dataset	Dodds, C., Keogh, P., Weatherburn, P. (2017). Accessing HIV post-exposure prophylaxis: gay and bisexual men in the UK describe their experiences. [data collection]. UK Data Service. SN: 852745, DOI: 10.5255/UKDA-SN-852745	2017	2005	2005		UK Data Archive	This qualitative investigation sought to describe and examineo Gay and Bisexual men’s experiences of trying to access post-exposure prophylaxis for HIV (PEP) in England and Wales, following a series of information campaigns in 2004/5. The sample was drawn from those men who had participated in the annual Gay Men’s Sex Survey by Sigma Research, and who had indicated an interest in talking about their experiences of trying to access PEP after completing the survey online in 2005. Thirty men were interviewed by telephone about the specific circumstances that led them to seek PEP, how they knew about it, what they did before asking for it, and a detailed account of what happened when they presented for PEP in a clinical setting. Thematic analysis of these individual accounts offers detailed insights into the different ways that men come to know about PEP and seek support following risk incidents, as well as revealing the disparities in service provision across England and Wales. Not all of the men who received PEP reported satisfactory experiences with health care and reception staff, and some were inappropriately refused treatment, or attended clinics where staff were unaware of the existence of PEP.	Qualitative	No		United Kingdom	Northern Europe		Individual	English	Sexuality and Gender Identity, Health	hiv/aids, homosexuality, health, public health, health promotion, medicine, healthcare, gay, bisexuals	Yes		23/05/2025							
African attitudes toward same-sex relationships, 1982–2018 	https://doi.org/10.1093/acrefore/9780190228637.013.1787	Journal Article	Dionne, K., & Dulani, B.  (2020, December 17). African Attitudes Toward Same-Sex Relationships, 1982–2018. Oxford Research Encyclopedia of Politics. Retrieved 21 May. 2025, from https://oxfordre.com/politics/view/10.1093/acrefore/9780190228637.001.0001/acrefore-9780190228637-e-1787. 	2020				Oxford University Press	One significant barrier to sexual minority rights in Africa is the generally negative attitudes ordinary Africans have toward same-sex relationships. Yet since 1998, there has been notable progress in terms of legalizing same-sex relationships on the continent, with Botswana the most recent African country to do so, in 2019. Botswana joins Angola, Cape Verde, Guinea Bissau, Lesotho, Mozambique, São Tomé and Príncipe, Seychelles, and South Africa, among countries that have decriminalized same-sex relationships. Publicly available cross-national survey data measuring citizen’s attitudes toward homosexuality in 41 African countries from 1982 to 2018 shows that, on average, Africans hold negative attitudes toward same-sex relationships, which is consistent with previous reports. However, there is variation in these attitudes, suggesting greater tolerance of sexual minorities among women, people who use the Internet more frequently, and urban residents. One key finding is that homophobia is not universal in Africa. In light of recent policy and legal developments advancing sexual minority rights, and given findings in existing scholarship highlighting the influence politicians have in politicizing homophobia, the literature questioning the generalized notion of a “homophobic Africa” is growing, and there are calls for more research on the factors influencing decriminalization.					Africa	Nation	Political or Administrative Area	English			Yes	a 2014 version indicates the use of the World Values Survey and Pew Survey.  	21/05/2025							
Afrobarometer Data	https://www.afrobarometer.org/data	Data Repository					Afrobarometer	Afrobarometer	Afrobarometer is a pan-African, non-partisan survey research network that has been conducting public attitude surveys on democracy, governance, the economy, and society since 1999. On a two- to three-year cycle, our national partners in about 35 African countries carry out face-to-face interviews with nationally representative samples, then analyse the data and disseminate the findings. Different ways to access the data.  Under Data, merged data, datsets can be downloaed. Click countries to see data for each coutnry.  Surveys has the questionnaires.  Codebooks is under data tab. They conduct face-to-face interviews with a randomly selected, nationally representative sample of 1,200-2,400 adult citizens in each country.	Quantitative	Yes	1999-present		Africa	Nation	Political or Administrative Area	English, French	Opinions and Social Attitudes	opinions, toleration, attitudes, hiv/aids	No	go to site for codebook downloadable link. .SAV (spss) data format	21/05/2025							
Afrobarometer Data Merged Round 1 data (12 countries) (1999-2001) 	https://www.afrobarometer.org/survey-resource/merged-round-1-codebook-12-countries-1999-2001/	Dataset		2015			Afrobarometer	Afrobarometer	"Afrobarometer measures the social, political, and economic atmosphere in more than 30 countries in Africa. How do we do this? We conduct face-to-face interviews with a randomly selected, nationally representative sample of 1,200-2,400 adult citizens in each country.  Not all countries were asked ""How well or badly would you say the current government is handling the following matters, or haven’tyou heard enough about them to say: Combating HIV/AIDS"""	Quantitative	Yes	1999-present	Zimbabwe, Namibia, Lesotho, Ghana, Nigeria, South Africa, Tanzania, Mali, Botswana, Zambia, Uganda, Malawi	Africa	Nation	Political or Administrative Area	English	Opinions and Social Attitudes	hiv-positive persons	No	no question on homosexuality	21/05/2025							
